"0","No error",
"1","Unallocated (unassigned) number – The destination requested by the calling user cannot be reached because that number does not exist. Typically this means the number is not configured inside CUCM.",
"2","No route to specified transit network (national use) – The equipment sending this cause does not recognize the transit network either because the transit network does not exist or because that particular transit network not serve the equipment which is sending this cause.",
"3","No route to destination – The called party cannot be reached because the network through which the call has been routed does not serve the destination desired.",
"4","Send special information tone – The called party cannot be reached for reasons that are of a long term nature and that the special information tone should be returned to the calling party.",
"5","Misdialed trunk prefix (national use) – Erroneous inclusion of a trunk prefix in the called party number.",
"6","Channel unacceptable – The channel most recently identified is not acceptable to the sending entity for use in this call.",
"7","Call awarded and being delivered in an established channel – The user has been awarded the incoming call and that the incoming call is being connected to a channel already established to that user for similar calls.",
"8","Preemption – Call is being preempted.",
"9","Preemption – circuit reserved for reuse – Call is being preempted and the circuit is reserved for reuse by the preempting exchange.",
"16","Normal call clearing",
"17","User busy – The called party is unable to accept another call because the user busy condition has been encountered. This cause value may be generated by the called user or by the network.",
"18","No user responding – Called party does not respond to a call establishment message with either an alerting or connect indication within the prescribed period of time allocated. Often this occurs from an equipment misconfiguration.",
"19","No answer from user (user alerted) – Called party has been alerted but does not respond with a connect indication within a prescribed period of time.",
"20","Subscriber absent – Used when a mobile station has logged off.",
"21","Call rejected – Usually caused by a telco issue where the call never reaches the final destination.",
"22","Number changed – Returned to a calling party when the called party number indicated by the calling party is no longer assigned.",
"25","Natural Exchange Routing Error",
"26","Non-selected user clearing",
"27","Destination out of order – A signal message was unable to be delivered to the remote party.",
"28","Invalid number format (address incomplete)",
"29","Facility rejected",
"30","Response to STATUS ENQUIRY",
"31","Normal / unspecified",
"34","No circuit/channel available – There is no place on the Public Telephone network to place the call; the call never gets to its destination. This is usually a temporary problem.",
"38","Network out of order",
"39","Permanent frame mode connection out of service",
"40","Permanent frame mode connection operational",
"41","Temporary failure – The network is not functioning correctly and that the condition is not likely to last a long period of time; e.g., the user may wish to try another call attempt almost immediately. Typically this means that there is a temporary failure at the physical layer of the network.",
"42","Switching equipment congestion – Too much traffic on the network for the call to complete.",
"43","Access information discarded",
"44","Requested circuit/channel not available",
"46","Precedence call blocked",
"47","Resource unavailable / unspecified",
"49","Quality of Service not available",
"50","Requested facility not subscribed",
"53","Service operation violated",
"54","Incoming calls barred",
"55","Incoming calls barred within Closed User Group (CUG)",
"57","Bearer capability not authorized",
"58","Bearer capability not presently available",
"62","Inconsistency in designated outgoing access information and subscriber class",
"63","Service or option not available / unspecified",
"65","Bearer capability not implemented",
"66","Channel type not implemented",
"69","Requested facility not implemented",
"70","Only restricted digital information bearer capability is available (national use)",
"79","Service or option not implemented / unspecified",
"81","Invalid call reference value",
"82","Identified channel does not exist",
"83","A suspended call exists but this call identity does not",
"84","Call identity in use",
"85","No call suspended",
"86","Call having the requested call identity has been cleared",
"87","User not member of CUG (Closed User Group)",
"88","Incompatible destination",
"90","Destination number missing and DC not subscribed",
"91","Invalid transit network selection (national use)",
"95","Invalid message / unspecified",
"96","Mandatory information element is missing",
"97","Message type nonexistent or not implemented",
"98","Message is not compatible with the call state – or the message type is nonexistent or not implemented",
"99","An information element or parameter does not exist or is not implemented",
"100","Invalid information element contents",
"101","The message is not compatible with the call state",
"102","Call terminated when timer expired; a recovery routine executed to recover from the error",
"103","Parameter nonexistent or not implemented – passed on (national use)",
"110","Message with unrecognized parameter discarded",
"111","Protocol error / unspecified",
"122","Precedence Level Exceeded",
"123","Device not Preemptable",
"125","Out of bandwidth (Cisco specific)",
"126","Call split (Cisco specific)",
"127","Interworking / unspecified",
"129","Precedence out of bandwidth",
"130","Natural Isolated Code",
"131","Call Control Discovery PSTN Failover (Cisco specific)",
"132","IME QOS Fallback (Cisco specific)",
"133","PSTN Fallback locate Call Error (Cisco specific)",
"134","PSTN Fallback wait for DTMF Timeout (Cisco specific)",
"135","IME Failed Connection Timed out (Cisco specific)",
"136","IME Failed not enrolled (Cisco specific)",
"137","IME Failed socket error (Cisco specific)",
"138","IME Failed domain blocked (Cisco specific)",
"139","IME Failed prefix blocked (Cisco specific)",
"140","IME Failed expired ticket (Cisco specific)",
"141","IME Failed remote no matching route (Cisco specific)",
"142","IME Failed remote unregistered (Cisco specific)",
"143","IME Failed remote IME disabled (Cisco specific)",
"144","IME Failed remote invalid IME trunk URI (Cisco specific)",
"145","IME Failed remote URI not E164 (Cisco specific)",
"146","IME Failed remote called number not available (Cisco specific)",
"147","IME Failed Invalid Ticket (Cisco specific)",
"148","IME Failed unknown (Cisco specific)",
"155","DCC Allowed Percentage Exceeded",
"262144","Conference Full (was 124)",
"393216","Call split : call terminates during a transfer operation because it was split off and terminated.",
"458752","Conference drop any party/Conference drop last party",
"16777257","CCM_SIP_400_BAD_REQUEST",
